time,region,size,api_price,cli_price,pay_as_you_go_price,1_year_reserved_price,3_year_reserved_price,%_saving_pay_as_you_go,%_saving_1y_reserved,%_saving_3y_reserved
2021-06-30 02:57:24.994786-04:00,eastus,Standard_L8s_v2,0.13104,0.13104,0.624,0.39748858447488583,0.26396499238964993,79.0,67.03301550832855,50.357053481331995
2021-06-30 02:57:24.994786-04:00,eastus,Standard_D8s_v3,0.146995,0.146995,0.384,0.22899543378995435,0.1473744292237443,61.72005208333333,35.808763708873386,0.2574593338497445
2021-06-30 02:57:24.994786-04:00,eastus,Standard_E2_v4,0.020513,0.020513,0.126,0.07431506849315068,0.04786910197869102,83.71984126984127,72.3972534562212,57.14772337042925
2021-06-30 02:57:24.994786-04:00,eastus,Standard_E4_v4,0.041026,0.041026,0.252,0.14863013698630137,0.09577625570776256,83.71984126984127,72.3972534562212,57.16474851013111
2021-06-30 02:57:24.994786-04:00,eastus,Standard_E16_v4,0.164102,0.164102,1.008,0.5947488584474886,0.3830289193302892,83.72003968253968,72.40818579654511,57.156759785416256
2021-06-30 02:57:24.994786-04:00,eastus,Standard_E4s_v4,0.041026,0.041026,0.252,0.14863013698630137,0.09577625570776256,83.71984126984127,72.3972534562212,57.16474851013111
2021-06-30 02:57:24.994786-04:00,eastus,Standard_E8_v4,0.082051,0.082051,0.504,0.2973744292237443,0.1915144596651446,83.72003968253968,72.40818579654511,57.156759785416256
2021-06-30 02:57:24.994786-04:00,eastus,Standard_E2s_v4,0.020513,0.020513,0.126,0.07431506849315068,0.04786910197869102,83.71984126984127,72.3972534562212,57.14772337042925
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_D2s_v3,0.038636,0.038636,0.129,0.08139269406392693,0.055441400304414,70.04961240310077,52.53136605890602,30.31200549073439
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_NC8as_T4_v3,0.175367,0.175367,1.015,0.6497716894977169,0.38576864535768646,82.72246305418719,73.0109817287421,54.54088814361807
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_H8m,0.42412,0.42412,2.587,1.0280821917808218,0.7392694063926941,83.60572091225357,58.74648900732844,42.629845583693644
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_H8,0.316364,-inf,1.145,0.7672374429223744,0.5516742770167428,72.36995633187773,58.76582889450974,42.653842461029114
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_E4s_v3,0.088512,0.088512,0.38,0.18812785388127853,0.12031963470319634,76.70736842105264,52.951145631067966,26.43594686907021
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_E8s_v3,0.177024,0.177024,0.76,0.3763698630136986,0.2406392694063927,76.70736842105264,52.96541583257507,26.43594686907021
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_H16,0.633003,-inf,2.291,1.5345890410958904,1.1033866057838662,72.37001309471847,58.75097612140148,42.630896851398425
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_L16s_v2,0.170117,0.170117,2.22,0.9325342465753425,0.6192161339421614,92.33707207207208,81.75756004406904,72.52704012781909
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_L8s_v2,0.085058,0.085058,1.11,0.46621004566210045,0.30962709284627093,92.3371171171171,81.75543388834477,72.52888976281186
